"BMI","Age_6","Age_7","Age_8","Age_9","Age_10","Age_11","Age_12","Age_13","Age_14","Age_15","Age_16","Age_17","Age_18","Age_19","Age_20","Age_21","Age_22","Age_23","Age_24","Age_25","Age_26","Age_27","Age_28","Age_29","Age_30","Age_31","Age_32","Age_33","Age_34","Age_35","Age_36","Age_37","Age_38","Age_39","Age_40","Age_41","Age_42","Age_43","Age_44","Age_45","Age_46","Age_47","Age_48","Age_49","Age_50","Age_51","Age_52","Age_53","Age_54","Age_55","Age_56","Age_57","Age_58","Age_59","Age_60","Age_61","Age_62","Age_63","Age_64","Age_65","Age_66","Age_67","Age_68","Age_69","Age_70","Age_71","Age_72","Age_73","Age_74","Age_75","Age_76","Age_77","Age_78","Age_79","Age_80","Age_81","Age_82","Age_83","Age_84","Age_85"
10,1520,1588,1658,1731,1806,1883,1962,2042,2122,2203,2284,2364,2443,2520,2595,2667,2734,2797,2855,2906,2951,2990,3024,3054,3083,3111,3140,3173,3210,3254,3307,3371,3448,3540,3652,3786,3946,4139,4369,4644,4972,5357,5805,6320,6905,7566,8305,9124,10024,11003,12056,13174,14344,15548,16764,17965,19116,20181,21121,21895,22473,22847,23019,22998,22793,22424,21908,21267,20523,19699,18816,17894,16951,16004,15067,14152,13268,12422,11620,10867
11,1532,1594,1658,1724,1792,1861,1931,2001,2072,2143,2214,2284,2352,2419,2484,2547,2606,2662,2714,2761,2803,2840,2875,2907,2938,2969,3002,3038,3079,3125,3178,3241,3315,3402,3504,3625,3767,3934,4131,4363,4636,4952,5314,5725,6186,6701,7269,7892,8569,9297,10073,10889,11738,12607,13482,14344,15173,15946,16638,17223,17682,18010,18208,18278,18228,18065,17800,17446,17014,16518,15972,15386,14775,14147,13514,12883,12262,11658,11076,10519
12,1543,1600,1659,1719,1780,1841,1904,1966,2029,2091,2153,2214,2274,2333,2389,2444,2497,2546,2593,2637,2677,2714,2749,2783,2817,2851,2887,2927,2970,3018,3073,3136,3208,3291,3386,3497,3625,3773,3945,4144,4375,4639,4938,5273,5645,6055,6503,6990,7514,8073,8663,9281,9919,10570,11223,11868,12490,13075,13606,14067,14444,14735,14939,15058,15095,15053,14940,14762,14526,14240,13912,13551,13162,12755,12335,11909,11482,11060,10646,10245
13,1555,1607,1661,1715,1770,1825,1880,1936,1991,2046,2100,2154,2206,2257,2307,2356,2402,2447,2490,2531,2570,2607,2643,2678,2715,2752,2791,2834,2880,2931,2987,3050,3121,3202,3292,3396,3513,3647,3799,3973,4172,4397,4648,4927,5233,5567,5929,6319,6735,7176,7639,8120,8615,9119,9625,10125,10609,11068,11491,11867,12187,12448,12650,12794,12881,12914,12895,12829,12720,12573,12392,12182,11948,11696,11430,11154,10872,10589,10307,10030
14,1566,1614,1663,1712,1762,1811,1860,1910,1958,2007,2054,2101,2147,2192,2236,2279,2321,2362,2402,2441,2479,2516,2553,2590,2628,2669,2711,2756,2805,2858,2917,2981,3052,3130,3218,3316,3425,3548,3685,3840,4015,4209,4425,4661,4918,5196,5496,5815,6154,6510,6883,7268,7664,8066,8470,8870,9259,9632,9980,10296,10574,10812,11009,11166,11283,11362,11404,11411,11386,11332,11252,11148,11025,10885,10731,10567,10396,10219,10041,9864
15,1578,1622,1666,1711,1755,1799,1843,1887,1930,1972,2014,2055,2096,2135,2175,2213,2251,2289,2326,2363,2400,2438,2476,2515,2556,2598,2644,2692,2743,2799,2859,2925,2996,3074,3160,3254,3357,3471,3598,3738,3894,4066,4253,4457,4678,4914,5167,5434,5716,6012,6319,6637,6962,7292,7623,7952,8275,8586,8881,9154,9401,9621,9812,9975,10111,10219,10300,10357,10389,10400,10390,10363,10319,10261,10191,10112,10025,9932,9836,9739
16,1590,1630,1670,1710,1750,1789,1828,1866,1904,1942,1979,2015,2051,2086,2121,2156,2191,2226,2261,2297,2334,2371,2410,2451,2494,2539,2587,2638,2692,2751,2813,2880,2953,3031,3115,3206,3306,3414,3532,3661,3803,3957,4124,4304,4497,4702,4919,5148,5388,5639,5899,6166,6440,6718,6997,7276,7551,7818,8075,8316,8540,8745,8930,9096,9243,9370,9478,9568,9641,9697,9738,9765,9779,9782,9775,9760,9739,9712,9682,9649
17,1602,1638,1674,1710,1745,1780,1815,1849,1882,1915,1948,1979,2011,2043,2074,2106,2138,2171,2205,2240,2276,2314,2355,2397,2442,2489,2540,2593,2651,2711,2776,2845,2919,2997,3082,3172,3269,3373,3485,3606,3737,3878,4030,4191,4363,4544,4735,4936,5145,5362,5587,5818,6054,6294,6536,6778,7017,7253,7481,7699,7906,8099,8279,8446,8599,8739,8865,8979,9079,9168,9246,9313,9370,9419,9460,9495,9524,9548,9570,9589
18,1614,1647,1679,1711,1742,1773,1804,1833,1863,1892,1920,1948,1977,2005,2033,2063,2093,2124,2156,2191,2227,2266,2307,2351,2398,2447,2500,2557,2616,2680,2747,2818,2893,2973,3058,3148,3244,3345,3454,3569,3693,3824,3964,4112,4268,4432,4603,4783,4969,5162,5361,5565,5773,5985,6199,6414,6629,6840,7048,7249,7442,7627,7803,7969,8126,8275,8413,8543,8664,8776,8880,8977,9066,9149,9227,9299,9367,9432,9495,9556
19,1627,1656,1684,1713,1740,1767,1794,1820,1846,1871,1896,1921,1946,1972,1998,2025,2053,2083,2115,2149,2185,2224,2267,2312,2361,2412,2468,2526,2589,2655,2724,2798,2875,2957,3043,3134,3229,3330,3436,3548,3666,3791,3923,4061,4206,4357,4514,4678,4848,5023,5203,5387,5576,5768,5962,6157,6353,6547,6739,6928,7111,7289,7461,7627,7787,7941,8088,8229,8365,8494,8617,8736,8849,8957,9062,9163,9261,9357,9452,9545
20,1639,1665,1690,1715,1739,1762,1785,1808,1830,1853,1875,1897,1919,1942,1967,1992,2019,2047,2079,2112,2149,2189,2232,2279,2329,2383,2441,2502,2567,2635,2708,2784,2864,2948,3036,3128,3224,3325,3430,3541,3656,3777,3903,4035,4172,4314,4462,4615,4772,4935,5101,5272,5446,5624,5803,5985,6167,6349,6530,6710,6886,7059,7228,7393,7555,7713,7866,8015,8160,8302,8439,8573,8704,8831,8956,9078,9199,9319,9437,9555
21,1652,1674,1696,1717,1738,1758,1778,1798,1817,1836,1856,1875,1896,1917,1939,1963,1989,2017,2047,2081,2118,2159,2203,2251,2303,2359,2419,2482,2550,2621,2696,2775,2858,2945,3035,3129,3227,3329,3435,3545,3660,3779,3902,4030,4163,4300,4441,4587,4737,4891,5049,5210,5374,5542,5712,5883,6057,6230,6404,6577,6748,6917,7084,7249,7412,7572,7729,7884,8036,8186,8333,8478,8621,8761,8901,9038,9175,9311,9447,9584
22,1665,1684,1703,1721,1738,1755,1772,1789,1805,1822,1839,1857,1875,1894,1915,1938,1963,1990,2020,2054,2091,2133,2178,2228,2282,2339,2401,2467,2537,2611,2689,2771,2857,2947,3040,3137,3238,3342,3450,3562,3677,3796,3919,4045,4176,4310,4448,4590,4736,4885,5038,5193,5352,5514,5677,5843,6010,6179,6347,6516,6684,6851,7017,7181,7344,7506,7666,7824,7981,8136,8289,8441,8592,8742,8890,9038,9185,9333,9481,9629
23,1678,1694,1709,1724,1739,1753,1767,1781,1795,1810,1824,1840,1857,1875,1894,1916,1940,1967,1997,2031,2069,2111,2158,2208,2264,2323,2388,2456,2529,2606,2687,2772,2861,2954,3051,3151,3255,3363,3474,3588,3706,3827,3951,4078,4209,4344,4481,4622,4767,4914,5065,5218,5374,5533,5694,5857,6021,6186,6353,6519,6685,6851,7016,7180,7344,7506,7667,7828,7987,8145,8301,8457,8612,8766,8920,9073,9227,9380,9535,9690
24,1692,1705,1718,1730,1741,1753,1764,1776,1787,1800,1812,1826,1842,1858,1877,1898,1921,1948,1978,2012,2051,2094,2142,2194,2251,2313,2380,2451,2526,2606,2691,2780,2873,2970,3071,3176,3284,3396,3511,3630,3751,3875,4003,4133,4267,4403,4543,4685,4831,4979,5130,5284,5440,5598,5759,5921,6084,6249,6415,6580,6746,6911,7076,7240,7404,7566,7728,7888,8048,8207,8365,8522,8678,8834,8990,9145,9300,9456,9613,9770
25,1709,1719,1729,1738,1747,1755,1764,1773,1783,1793,1804,1817,1831,1846,1864,1885,1908,1935,1965,2000,2039,2084,2133,2187,2247,2311,2380,2454,2534,2617,2706,2799,2897,2999,3106,3216,3330,3447,3568,3692,3819,3948,4081,4216,4353,4494,4637,4783,4932,5083,5237,5393,5551,5711,5872,6036,6200,6365,6531,6697,6863,7028,7193,7357,7520,7682,7843,8003,8163,8321,8478,8634,8790,8945,9100,9254,9409,9564,9719,9876
