"Table 1 
National Health Expenditures; Aggregate and Per Capita Amounts, Annual Percent Change and Percent Distribution: Calendar Years 1960-2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount,1960 ,1961 ,1962 ,1963 ,1964 ,1965 ,1966 ,1967 ,1968 ,1969 ,1970 ,1971 ,1972 ,1973 ,1974 ,1975 ,1976 ,1977 ,1978 ,1979 ,1980 ,1981 ,1982 ,1983 ,1984 ,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures (Amount in Billions), 27.1 , 29.1 , 31.8 , 34.6 , 38.2 , 41.6 , 45.8 , 51.2 , 58.0 , 65.4 , 74.1 , 82.4 , 92.4 , 102.7 , 116.3 , 132.7 , 152.0 , 172.6 , 194.0 , 219.7 , 253.2 , 293.6 , 330.9 , 364.8 , 401.9 , 439.9 , 472.3 , 514.5 , 576.6 , 642.2 , 718.7 , 786.0 , 852.2 , 914.9 , 966.4 ," 1,020.3 "," 1,073.6 "," 1,132.9 "," 1,198.4 "," 1,273.2 "," 1,366.0 "," 1,483.4 "," 1,631.0 "," 1,770.4 "," 1,894.7 "," 2,026.6 "," 2,165.1 "," 2,305.5 "," 2,402.4 "," 2,492.7 "," 2,589.6 "," 2,676.5 "," 2,783.3 "," 2,856.6 "," 3,002.6 "," 3,165.4 "," 3,307.4 "," 3,446.5 "," 3,604.4 "," 3,757.4 "," 4,144.1 "," 4,255.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Consumption Expenditures, 24.6 , 26.2 , 28.3 , 30.8 , 33.9 , 36.9 , 40.8 , 46.0 , 52.2 , 58.4 , 66.3 , 73.6 , 82.5 , 92.2 , 104.9 , 119.9 , 138.0 , 158.3 , 178.1 , 202.2 , 232.7 , 270.1 , 304.2 , 335.5 , 371.0 , 408.7 , 440.0 , 478.8 , 536.8 , 598.5 , 670.2 , 733.9 , 795.1 , 854.0 , 902.8 , 954.7 ," 1,006.5 "," 1,061.3 "," 1,119.9 "," 1,188.8 "," 1,280.3 "," 1,393.4 "," 1,529.6 "," 1,661.8 "," 1,777.7 "," 1,901.0 "," 2,032.1 "," 2,159.3 "," 2,246.1 "," 2,345.5 "," 2,437.5 "," 2,517.8 "," 2,620.1 "," 2,693.5 "," 2,843.1 "," 3,002.3 "," 3,141.2 "," 3,265.9 "," 3,414.6 "," 3,563.3 "," 3,950.1 "," 4,048.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Personal Health Care, 23.1 , 24.6 , 26.5 , 29.0 , 31.8 , 34.4 , 38.0 , 43.0 , 48.6 , 54.9 , 62.4 , 68.7 , 76.4 , 85.3 , 97.8 , 112.1 , 128.1 , 145.1 , 162.4 , 184.9 , 214.3 , 248.6 , 279.5 , 308.0 , 337.9 , 372.6 , 405.4 , 444.4 , 495.1 , 547.0 , 611.9 , 672.6 , 728.3 , 775.5 , 817.7 , 866.5 , 914.6 , 965.6 ," 1,019.2 "," 1,078.8 "," 1,156.5 "," 1,256.5 "," 1,365.5 "," 1,475.9 "," 1,582.4 "," 1,693.8 "," 1,806.5 "," 1,921.5 "," 2,007.2 "," 2,105.5 "," 2,180.5 "," 2,253.9 "," 2,346.2 "," 2,405.2 "," 2,527.1 "," 2,674.3 "," 2,795.6 "," 2,903.8 "," 3,019.8 "," 3,173.1 "," 3,367.0 "," 3,553.4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Administration and Net Cost of Health Insurance, 1.1 , 1.2 , 1.3 , 1.3 , 1.5 , 1.8 , 2.0 , 2.1 , 2.6 , 2.4 , 2.6 , 3.2 , 4.3 , 4.8 , 4.5 , 4.9 , 6.7 , 9.3 , 11.1 , 11.9 , 11.9 , 13.9 , 16.1 , 18.3 , 23.2 , 24.9 , 22.2 , 20.8 , 26.4 , 33.7 , 38.3 , 39.2 , 42.5 , 51.7 , 55.5 , 57.2 , 59.5 , 60.8 , 63.3 , 69.3 , 80.7 , 90.1 , 111.9 , 131.7 , 140.4 , 150.0 , 164.8 , 171.8 , 167.4 , 165.9 , 181.4 , 189.5 , 196.7 , 206.9 , 231.6 , 242.5 , 255.7 , 266.6 , 295.4 , 283.2 , 344.9 , 307.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Public Health Activities, 0.4 , 0.4 , 0.5 , 0.5 , 0.6 , 0.6 , 0.7 , 0.9 , 1.0 , 1.2 , 1.4 , 1.7 , 1.9 , 2.1 , 2.6 , 3.0 , 3.2 , 3.8 , 4.6 , 5.4 , 6.4 , 7.5 , 8.6 , 9.3 , 9.8 , 11.2 , 12.4 , 13.6 , 15.3 , 17.8 , 20.0 , 22.1 , 24.4 , 26.8 , 29.6 , 31.0 , 32.4 , 34.8 , 37.5 , 40.7 , 43.0 , 46.8 , 52.2 , 54.2 , 54.9 , 57.3 , 60.9 , 66.0 , 71.6 , 74.2 , 75.7 , 74.4 , 77.2 , 81.5 , 84.4 , 85.5 , 90.0 , 95.5 , 99.4 , 107.1 , 238.3 , 187.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Investment, 2.6 , 2.9 , 3.5 , 3.8 , 4.3 , 4.8 , 5.0 , 5.2 , 5.9 , 7.0 , 7.7 , 8.8 , 9.9 , 10.4 , 11.5 , 12.7 , 14.0 , 14.4 , 15.9 , 17.5 , 20.6 , 23.5 , 26.7 , 29.3 , 30.9 , 31.1 , 32.3 , 35.7 , 39.9 , 43.7 , 48.6 , 52.0 , 57.1 , 60.9 , 63.6 , 65.6 , 67.1 , 71.7 , 78.5 , 84.4 , 85.7 , 90.0 , 101.5 , 108.6 , 116.9 , 125.5 , 133.0 , 146.2 , 156.3 , 147.2 , 152.1 , 158.7 , 163.2 , 163.1 , 159.6 , 163.1 , 166.2 , 180.6 , 189.9 , 194.1 , 193.9 , 207.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Population1 (Millions),186 ,189 ,192 ,195 ,197 ,200 ,202 ,204 ,206 ,208 ,210 ,213 ,215 ,217 ,218 ,220 ,222 ,224 ,226 ,228 ,230 ,233 ,235 ,237 ,239 ,242 ,244 ,246 ,248 ,251 ,254 ,256 ,260 ,263 ,265 ,268 ,271 ,274 ,276 ,279 ,282 ,285 ,287 ,290 ,292 ,295 ,298 ,301 ,304 ,306 ,309 ,311 ,314 ,316 ,318 ,320 ,323 ,325 ,327 ,328 ,329 ,330 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Domestic Product2  (Amount in Billions), 542.4 , 562.2 , 603.9 , 637.5 , 684.5 , 742.3 , 813.4 , 860.0 , 940.7 ," 1,017.6 "," 1,073.3 "," 1,164.9 "," 1,279.1 "," 1,425.4 "," 1,545.2 "," 1,684.9 "," 1,873.4 "," 2,081.8 "," 2,351.6 "," 2,627.3 "," 2,857.3 "," 3,207.0 "," 3,343.8 "," 3,634.0 "," 4,037.6 "," 4,339.0 "," 4,579.6 "," 4,855.2 "," 5,236.4 "," 5,641.6 "," 5,963.1 "," 6,158.1 "," 6,520.3 "," 6,858.6 "," 7,287.2 "," 7,639.7 "," 8,073.1 "," 8,577.6 "," 9,062.8 "," 9,631.2 "," 10,251.0 "," 10,581.9 "," 10,929.1 "," 11,456.5 "," 12,217.2 "," 13,039.2 "," 13,815.6 "," 14,474.2 "," 14,769.9 "," 14,478.1 "," 15,049.0 "," 15,599.7 "," 16,254.0 "," 16,843.2 "," 17,550.7 "," 18,206.0 "," 18,695.1 "," 19,477.3 "," 20,533.1 "," 21,381.0 "," 21,060.5 "," 23,315.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures (Annual Percent Change) ,,7.1,9.3,8.8,10.7,8.8,9.9,11.9,13.3,12.8,13.2,11.2,12.1,11.1,13.3,14.0,14.6,13.6,12.3,13.3,15.3,15.9,12.7,10.2,10.2,9.5,7.4,8.9,12.1,11.4,11.9,9.4,8.4,7.4,5.6,5.6,5.2,5.5,5.8,6.2,7.3,8.6,9.9,8.5,7.0,7.0,6.8,6.5,4.2,3.8,3.9,3.4,4.0,2.6,5.1,5.4,4.5,4.2,4.6,4.2,10.3,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
