X1,X2,ID
-3.88,-5.37,0
-4.46,-5.69,0
-3.49,-4.84,0
-3.60,-4.73,0
-2.81,-4.02,0
-4.45,-5.36,0
-2.72,-4.15,0
-3.95,-5.10,0
-2.96,-3.97,0
-3.21,-4.27,0
-2.87,-4.33,0
-3.80,-4.86,0
-3.51,-4.53,0
-3.25,-4.14,0
-3.89,-4.40,0
-2.72,-3.79,0
-3.11,-4.67,0
-3.50,-4.44,0
-3.15,-4.07,0
-4.13,-5.29,0
-3.55,-4.79,0
-3.29,2.12,1
-3.34,2.73,1
-3.03,2.88,1
-4.51,1.47,1
-3.73,2.23,1
-4.68,0.72,1
-2.97,2.79,1
-4.40,1.69,1
-3.26,2.52,1
-2.81,3.11,1
-4.20,1.51,1
-4.35,1.42,1
-3.80,2.09,1
-3.82,2.13,1
-3.63,1.85,1
-2.18,3.72,1
-4.40,1.34,1
-3.16,2.93,1
-2.52,3.26,1
-3.09,2.74,1
-2.81,2.83,1
-2.94,2.90,1
-3.31,2.33,1
-4.08,2.00,1
-3.69,1.80,1
-3.02,2.69,1
-3.64,2.22,1
-3.56,2.50,1
-3.69,2.35,1
-4.87,0.92,1
-3.35,2.07,1
-4.41,1.55,1
-3.08,2.82,1
-3.99,2.13,1
-4.01,2.01,1
-4.67,1.22,1
-3.35,2.21,1
-4.14,1.51,1
-4.04,1.82,1
-4.45,1.55,1
-4.25,1.51,1
-2.09,-1.07,2
0.07,0.96,2
-1.07,0.04,2
-0.75,0.46,2
-0.32,0.46,2
-0.58,0.56,2
-0.19,0.73,2
0.01,0.80,2
0.48,1.37,2
-0.37,0.73,2
-1.03,-0.14,2
-0.84,0.25,2
-0.32,0.88,2
0.15,1.22,2
-0.18,0.86,2
0.21,1.07,2
0.27,1.09,2
-0.82,0.02,2
-1.32,-0.32,2
0.35,1.29,2
0.23,-3.63,3
0.42,-3.56,3
0.30,-3.52,3
-0.96,-4.78,3
-0.12,-3.98,3
-0.13,-3.96,3
-0.09,-4.11,3
0.31,-3.53,3
0.08,-3.76,3
-0.21,-4.16,3
0.07,-3.74,3
0.30,-3.66,3
-0.23,-4.08,3
-1.03,-5.04,3
0.31,-3.69,3
-0.14,-4.16,3
-0.54,-4.53,3
-0.38,-4.27,3
0.10,-3.85,3
-0.37,-4.20,3
-0.15,-3.92,3
-0.69,-4.66,3
-0.20,-3.99,3
-0.17,-3.85,3
-1.00,-4.84,3
-0.76,-4.73,3
-0.05,-3.87,3
-0.01,-3.79,3
-0.82,-4.55,3
-0.68,-4.34,3
-0.53,-4.19,3
-0.09,-3.98,3
0.05,-3.84,3
-0.31,-4.22,3
0.16,-3.81,3
2.36,2.01,4
2.43,2.04,4
2.91,1.98,4
2.83,1.63,4
2.11,1.49,4
3.16,2.46,4
1.66,1.09,4
2.14,1.19,4
4.56,3.45,4
2.92,1.73,4
3.34,2.14,4
2.47,1.37,4
3.46,2.39,4
2.34,1.54,4
1.15,0.34,4
2.80,1.95,4
2.02,1.22,4
2.45,1.62,4
2.16,1.29,4
3.14,2.33,4
2.60,1.33,4
2.28,1.40,4
1.17,4.88,5
0.94,4.26,5
1.81,5.76,5
1.00,4.63,5
0.37,3.81,5
1.06,5.07,5
0.64,4.03,5
1.27,4.88,5
1.32,4.78,5
1.96,5.57,5
-0.30,3.31,5
1.67,5.09,5
0.67,4.29,5
0.26,3.31,5
1.51,4.84,5
0.94,4.75,5
1.17,4.55,5
1.57,5.11,5
1.04,4.39,5
1.74,5.37,5
0.58,4.20,5
0.94,4.87,5
1.28,4.54,5
1.45,4.82,5
0.61,4.30,5
0.69,4.45,5
0.59,4.36,5
1.50,5.04,5
0.59,4.18,5
1.93,5.35,5
2.20,5.81,5
1.61,5.03,5
2.36,6.23,5
1.29,4.64,5
0.66,4.35,5
0.27,3.92,5
0.29,3.92,5
1.35,5.22,5
2.08,5.43,5
0.77,4.28,5
1.24,4.95,5
