,DJI_label,NASDAQ_label,NYSE_label,RUSSELL_label,S&P_label
0,1,1,1,1,1
1,0,0,0,0,0
2,1,0,0,1,0
3,0,1,0,1,0
4,0,1,0,0,0
5,0,0,0,0,0
6,0,1,0,1,0
7,1,1,1,1,1
8,0,0,0,0,0
9,0,0,0,0,0
10,1,1,1,1,1
11,0,0,0,0,0
12,1,1,1,1,1
13,1,1,1,1,1
14,1,1,1,1,1
15,0,0,0,0,0
16,1,1,1,1,1
17,0,0,0,0,0
18,1,1,1,1,1
19,1,1,1,1,1
20,0,0,0,0,0
21,0,0,0,0,0
22,1,0,1,1,1
23,1,1,1,1,1
24,0,0,1,0,0
25,1,1,1,1,1
26,0,0,0,0,0
27,1,1,1,0,1
28,0,0,0,0,0
29,1,0,1,0,1
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,1,1,1,0,1
35,1,1,1,1,1
36,0,0,0,0,0
37,1,1,1,0,1
38,0,0,0,1,0
39,0,0,0,0,0
40,0,0,0,0,0
41,1,1,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,1,0,0,0,1
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,1,0,1,1
49,0,1,1,1,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,1,1,1
53,1,1,1,1,1
54,0,0,0,0,0
55,0,0,0,0,0
56,1,1,1,1,1
57,0,1,1,1,1
58,0,1,0,1,0
59,0,0,0,0,0
60,0,0,1,0,0
61,1,1,1,1,1
62,0,0,0,0,0
63,0,0,0,0,0
64,1,0,0,0,0
65,1,1,1,1,1
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,1,0,0
70,0,0,0,0,0
71,0,0,1,0,0
72,1,1,1,1,1
73,0,1,0,1,0
74,0,0,0,0,0
75,0,0,1,0,1
76,0,0,1,0,0
77,0,0,0,0,0
78,0,1,1,1,1
79,1,1,1,1,1
80,0,0,0,0,0
81,0,0,0,0,0
82,1,1,1,1,1
83,0,0,0,0,0
84,1,1,1,1,1
85,1,1,1,1,1
86,1,1,1,1,1
87,1,1,1,1,1
88,0,0,0,0,0
89,1,0,1,0,1
90,0,0,0,0,0
91,1,1,1,1,1
92,1,1,1,1,1
93,0,0,1,0,0
94,1,1,1,1,1
95,1,1,1,1,1
96,1,1,1,1,1
97,0,0,0,0,0
98,1,1,1,1,1
99,1,1,1,1,0
100,1,1,1,0,1
101,0,0,0,0,0
102,1,1,1,1,1
103,1,1,1,1,1
104,0,0,0,0,0
105,0,0,0,0,0
106,1,1,1,1,1
107,1,1,1,1,1
108,0,1,0,1,0
109,1,1,1,0,1
110,0,0,0,0,0
111,0,0,0,0,0
112,1,0,0,0,1
113,0,0,0,0,0
114,0,0,1,1,1
115,0,0,0,1,0
116,0,0,0,0,0
117,1,1,1,1,1
118,1,1,1,1,1
119,0,1,1,1,1
120,1,1,1,1,1
121,1,0,0,0,0
122,1,1,1,1,1
123,1,1,1,1,1
124,1,1,1,1,1
125,1,1,1,1,1
126,1,1,1,1,1
127,0,0,0,1,0
128,0,0,0,0,0
129,0,0,0,0,0
130,0,0,0,0,0
131,0,0,1,1,0
132,0,0,0,0,0
133,0,0,1,1,1
134,1,1,0,1,0
135,1,1,1,1,1
136,0,0,0,0,0
137,0,0,0,0,0
138,1,1,1,1,1
139,0,0,0,0,0
140,0,0,0,0,0
141,0,0,0,0,0
142,0,1,1,1,1
143,1,1,1,1,1
144,1,1,1,1,1
145,1,0,0,0,0
146,0,0,0,0,0
147,1,1,1,1,1
148,0,0,0,0,0
149,1,1,1,1,1
150,1,1,1,1,1
151,0,0,0,0,0
152,1,1,1,1,1
153,1,1,1,1,1
154,1,1,1,1,1
155,1,1,1,1,1
156,1,0,0,0,0
157,0,0,0,0,0
158,0,0,0,0,0
159,1,1,1,1,1
160,1,0,1,1,1
161,1,1,1,1,1
162,1,1,1,1,1
163,0,0,0,0,0
164,1,1,1,1,1
165,0,0,0,0,0
166,1,1,1,1,1
167,0,1,0,0,0
168,0,0,0,0,0
169,0,0,0,0,0
170,0,0,0,0,0
171,1,1,1,1,1
172,0,0,0,0,0
173,0,0,0,0,0
174,0,0,0,0,0
175,0,0,0,0,0
176,1,0,0,1,1
177,0,0,0,0,0
178,0,0,1,1,1
179,0,0,1,0,0
180,0,0,0,0,0
181,0,1,1,1,1
182,1,1,1,1,1
183,1,1,1,1,1
184,0,0,0,0,0
185,1,1,1,1,1
186,0,0,0,0,0
187,1,1,1,0,1
188,1,1,1,1,1
189,0,0,0,0,0
190,1,1,1,1,1
191,0,0,0,0,0
192,0,1,0,1,1
193,1,0,1,1,1
194,0,0,0,0,0
195,0,0,0,1,0
196,0,0,0,0,0
197,0,0,0,0,0
198,1,1,1,1,1
199,1,0,1,1,0
200,0,0,0,0,0
201,1,1,1,1,1
202,0,0,0,0,0
203,0,0,1,1,0
204,1,0,0,0,0
205,0,0,0,0,0
206,0,0,1,1,0
207,1,0,1,1,1
208,1,0,0,1,0
209,0,0,0,0,1
210,0,1,1,1,0
211,0,0,0,0,0
212,0,0,0,0,0
213,0,0,0,0,0
214,0,0,0,0,0
215,1,0,1,0,1
216,1,1,1,1,1
217,0,0,0,0,0
218,1,1,1,1,1
219,1,1,1,1,1
220,0,1,1,0,1
221,1,1,1,1,1
222,1,0,0,0,0
223,0,0,0,0,0
224,0,0,0,0,0
225,1,0,1,0,1
226,1,1,1,1,1
227,0,0,0,0,0
228,1,1,1,1,1
229,1,1,1,1,1
230,1,1,1,1,1
231,0,0,0,0,0
232,0,0,0,0,0
233,0,0,0,0,0
234,1,0,1,0,1
235,1,0,1,0,0
236,0,0,0,1,0
237,1,0,0,0,0
238,0,0,0,0,0
239,0,1,0,1,0
240,0,0,0,1,0
241,1,1,1,1,1
242,0,0,0,0,0
243,1,0,1,0,0
244,1,0,0,0,0
245,0,0,0,0,0
246,0,0,0,0,0
247,0,1,1,1,1
248,1,0,1,0,0
249,0,1,0,1,0
250,0,0,0,0,0
251,1,1,1,1,1
252,0,1,0,1,1
253,0,0,0,0,0
254,0,1,1,1,1
255,0,0,0,0,0
256,1,0,1,1,1
257,1,1,1,1,1
258,1,0,1,0,1
259,0,0,0,0,0
260,0,0,0,0,0
261,1,1,1,1,1
262,0,0,0,0,0
263,0,0,0,1,0
264,1,1,1,1,1
265,1,1,1,1,1
266,0,1,0,1,0
267,0,0,0,0,0
268,1,0,1,0,0
269,0,0,0,0,0
270,0,0,0,0,0
271,1,1,1,1,1
272,0,0,0,0,0
273,0,0,0,0,0
274,0,1,1,1,1
275,0,0,0,0,0
276,0,0,1,0,0
277,0,0,0,0,0
278,0,0,0,0,0
279,0,1,1,1,1
280,1,0,1,0,0
281,0,0,0,0,0
282,1,0,0,0,0
283,1,1,1,1,1
284,0,0,0,0,0
285,0,0,0,0,0
286,0,0,0,0,0
287,1,1,1,1,1
288,1,1,1,1,1
289,1,0,1,0,1
290,0,0,0,0,0
291,0,0,0,0,0
292,1,1,1,1,1
293,0,0,0,0,0
294,0,0,0,0,0
295,1,1,1,1,1
296,1,1,1,1,1
297,0,0,0,0,0
298,1,1,1,1,1
299,1,1,1,1,1
300,0,0,0,0,0
301,1,1,1,1,1
302,1,1,1,1,1
303,1,1,1,1,1
304,0,0,0,0,0
305,0,0,0,0,0
306,0,0,0,0,0
307,1,1,1,1,1
308,0,0,0,0,0
309,0,0,0,0,0
310,0,0,0,0,0
311,1,1,1,1,1
312,0,0,0,0,0
313,0,0,0,0,0
314,1,0,1,0,1
315,0,0,0,0,0
316,0,1,0,0,0
317,1,0,0,0,1
318,0,0,0,0,0
319,1,1,1,1,1
320,1,1,1,1,1
321,0,1,1,1,1
322,1,1,1,1,1
323,0,0,0,0,0
324,0,1,0,0,0
325,0,0,0,0,0
326,1,1,1,1,1
327,0,0,0,0,0
328,0,0,0,0,0
329,0,0,0,0,0
330,1,0,1,1,1
331,0,0,0,0,0
332,0,0,0,0,0
333,0,0,0,0,0
334,0,0,0,0,0
335,1,1,1,1,1
336,0,1,1,1,1
337,1,1,1,1,1
338,1,1,1,1,1
339,0,0,0,0,0
340,0,0,0,0,0
341,0,0,0,0,0
342,1,1,1,1,1
343,0,0,0,0,0
344,1,1,1,1,1
345,1,1,1,1,1
346,1,0,1,1,1
347,0,0,0,0,0
348,0,0,0,0,0
349,1,1,1,1,1
350,1,1,1,1,1
351,1,1,0,1,1
352,0,0,0,0,0
353,0,0,0,0,0
354,0,0,0,0,0
355,0,0,0,0,0
356,1,1,1,1,1
357,1,0,1,1,1
358,1,1,1,1,1
359,1,1,1,1,1
360,1,1,0,0,1
361,1,1,1,1,1
362,0,0,0,0,0
363,1,1,1,1,1
364,0,1,0,1,0
365,0,0,0,0,0
366,1,1,1,1,1
367,0,1,1,0,0
368,0,1,0,0,0
369,0,0,0,0,0
370,0,0,0,0,0
371,1,1,1,1,1
372,1,0,1,0,1
373,1,1,1,1,1
374,0,0,0,0,0
375,0,0,0,0,0
376,0,0,0,0,0
377,0,0,0,0,0
378,0,0,0,0,0
379,1,0,1,0,1
380,0,0,1,0,0
381,0,0,0,0,0
382,1,1,1,1,1
383,1,1,1,1,1
384,1,1,1,1,1
385,0,0,0,0,0
386,1,1,1,1,1
387,0,0,0,0,0
388,1,1,1,1,1
389,0,0,0,0,0
390,1,1,0,1,1
391,0,0,0,0,0
392,1,0,1,0,0
393,1,1,1,1,1
394,1,1,1,1,1
395,1,1,1,1,1
396,1,0,1,1,1
397,1,1,1,1,1
398,1,1,1,1,1
399,1,1,1,1,1
400,0,0,0,0,0
401,1,1,1,1,1
402,0,1,1,1,1
403,1,1,1,1,1
404,0,0,0,0,0
405,1,1,1,1,1
406,0,0,0,0,0
407,0,0,0,0,0
408,0,0,0,0,0
409,1,1,1,1,1
410,0,1,0,1,0
411,1,1,1,1,1
412,1,1,1,1,1
413,0,0,0,1,0
414,0,0,0,0,0
415,0,0,0,0,0
416,1,1,1,1,1
417,0,0,0,0,0
418,0,0,0,0,0
419,0,0,0,0,0
420,0,0,0,1,0
421,1,1,1,1,1
422,1,1,1,1,1
423,1,1,1,1,1
424,0,0,0,0,0
425,1,1,1,1,1
426,1,1,1,1,1
427,0,0,0,0,0
428,0,0,0,0,0
429,0,0,0,0,0
430,0,0,0,0,0
431,0,0,0,0,0
432,1,1,1,1,1
433,0,1,1,1,1
434,1,1,1,1,1
435,1,1,1,1,1
436,0,0,0,0,0
437,0,0,0,0,0
438,0,0,0,0,0
439,1,1,1,1,1
440,0,1,0,0,0
441,1,1,1,1,1
442,1,1,1,1,1
443,0,0,0,0,0
444,0,0,0,0,0
445,0,0,0,0,0
446,1,1,1,1,1
447,0,0,0,0,0
448,1,0,1,0,0
449,0,0,0,0,0
450,1,0,1,1,1
451,0,0,0,0,0
452,1,1,1,1,1
453,0,0,0,0,0
454,1,1,1,1,1
455,0,1,0,0,0
456,0,0,0,0,0
457,0,0,0,0,0
458,1,1,1,1,1
459,0,0,0,0,0
460,0,0,0,0,0
461,0,1,1,1,0
462,1,1,1,1,1
463,1,1,1,1,1
464,0,0,0,0,0
465,0,0,0,0,0
466,1,1,1,1,1
467,0,0,0,1,0
468,0,0,0,0,0
469,1,1,1,1,1
470,0,0,0,0,0
471,0,0,0,0,0
472,1,1,1,1,1
473,0,0,0,0,0
474,1,1,1,1,1
475,1,1,1,1,1
476,0,1,0,0,1
477,1,1,1,1,1
478,1,1,1,1,1
479,1,1,1,1,1
480,1,1,1,1,1
481,0,0,0,0,0
482,0,1,0,1,0
483,0,0,0,0,0
484,1,0,1,1,1
485,1,0,0,0,1
486,0,0,0,0,0
487,0,1,0,1,0
488,0,1,0,1,0
489,1,1,1,1,1
490,0,0,0,0,0
491,1,1,1,1,1
492,1,1,1,1,1
493,1,1,1,1,1
494,0,0,0,0,0
495,1,0,0,0,0
496,1,1,1,1,1
497,0,0,0,0,0
498,0,1,0,0,0
499,0,0,0,0,0
500,0,0,0,0,0
501,1,0,1,0,0
502,1,1,1,1,1
503,0,0,0,0,0
504,1,1,1,1,1
505,0,0,0,0,0
506,0,1,1,1,0
507,1,0,1,0,0
508,1,0,1,1,1
509,0,0,0,0,0
510,0,0,0,0,0
511,1,0,1,0,0
512,0,0,0,0,0
513,1,1,1,1,1
514,0,0,0,0,0
515,0,0,0,0,0
516,0,0,0,0,0
517,0,1,0,0,0
518,1,1,0,1,0
519,1,0,1,0,1
520,0,0,0,0,0
521,1,1,1,1,1
522,1,0,1,0,1
523,1,1,1,1,1
524,1,0,0,0,1
525,0,0,0,0,0
526,1,0,0,0,0
527,0,0,0,0,0
528,1,1,1,1,1
529,0,0,0,1,0
530,0,0,0,0,0
531,0,0,1,1,0
532,1,1,1,1,1
533,0,0,0,0,0
534,0,0,1,1,1
535,1,1,1,1,1
536,0,0,0,0,0
537,0,1,0,1,0
538,0,1,0,1,0
539,1,1,1,1,1
540,0,0,0,0,0
541,1,0,0,1,0
542,1,0,1,1,0
543,0,0,0,1,0
544,1,1,1,1,1
545,0,0,0,0,0
546,1,1,1,1,1
547,1,1,1,0,1
548,1,1,1,1,1
549,0,0,0,0,0
550,0,0,0,0,0
551,0,0,0,0,0
552,0,1,1,1,0
553,0,0,0,0,0
554,0,0,1,1,1
555,0,0,0,0,0
556,1,1,0,1,0
557,0,0,0,0,0
558,1,1,1,1,1
559,1,0,1,0,1
560,1,1,1,1,1
561,0,0,0,0,0
562,0,0,0,0,0
563,1,1,1,1,1
564,1,1,1,1,1
565,0,1,1,1,1
566,0,1,0,1,0
567,0,0,0,0,0
568,1,1,1,1,1
569,1,1,1,1,1
570,1,0,1,1,1
571,1,1,1,1,1
572,1,1,1,1,1
573,0,0,0,0,0
574,0,0,0,0,0
575,1,1,1,1,1
576,0,1,0,0,1
577,0,0,0,0,0
578,1,1,1,1,1
579,1,1,1,1,1
580,0,1,0,0,0
581,1,1,1,1,1
582,0,1,0,0,0
583,0,0,0,0,0
584,0,0,0,0,0
585,0,0,0,0,0
586,1,1,1,1,1
587,0,0,0,1,0
588,1,0,1,0,1
589,1,1,1,1,1
590,1,1,1,1,1
591,1,0,0,0,0
592,1,1,1,1,1
593,1,1,1,1,1
594,0,1,0,0,0
595,1,0,1,1,1
596,1,1,1,1,1
597,1,1,1,1,1
598,1,1,1,1,1
599,1,1,1,1,1
600,1,1,1,1,1
601,0,0,0,0,0
602,1,1,1,1,0
603,1,0,1,0,0
604,0,1,0,0,0
605,1,1,1,1,1
606,0,0,0,0,0
607,1,1,1,1,1
608,1,1,1,1,1
609,1,1,1,1,1
610,1,0,1,1,0
611,0,0,0,0,0
612,0,0,0,0,0
613,0,1,0,1,1
614,0,0,0,0,0
615,1,1,1,1,1
616,0,0,0,0,0
617,1,1,1,1,1
618,0,0,0,0,0
619,0,0,0,0,0
620,1,0,1,0,0
621,0,0,0,0,0
622,1,0,1,1,1
623,1,1,1,1,1
624,0,0,0,0,0
625,1,1,1,1,1
626,0,0,0,0,0
627,0,0,0,0,0
628,1,1,1,1,1
629,0,0,0,0,0
630,1,0,0,0,0
631,0,0,0,0,0
632,1,0,1,1,1
633,1,1,1,1,1
634,1,1,1,1,1
635,1,1,1,1,1
636,1,1,0,1,1
637,1,1,1,1,1
638,0,0,0,0,0
639,1,1,1,1,1
640,0,0,0,0,0
641,0,0,0,0,0
642,0,0,0,1,0
643,1,1,1,1,1
644,1,1,1,1,1
645,1,1,1,1,1
646,0,1,0,0,1
647,0,0,0,0,0
648,0,0,0,0,0
649,1,1,1,1,1
650,1,1,1,1,1
651,1,1,1,1,1
652,1,1,1,1,1
653,0,0,0,0,0
654,0,0,0,0,0
655,0,0,0,0,0
656,0,1,0,1,0
657,1,0,0,0,0
658,0,0,0,1,0
659,1,0,1,1,1
660,0,1,0,1,1
661,1,0,0,0,0
662,0,0,0,0,0
663,0,0,0,0,0
664,1,1,1,1,1
665,1,1,1,1,1
666,1,0,1,1,0
667,1,1,1,1,1
668,0,0,0,0,0
669,1,0,1,0,1
670,1,0,1,0,1
671,0,0,1,0,0
672,1,1,1,1,1
673,0,0,0,0,0
674,1,0,1,0,1
675,0,1,1,1,1
676,0,0,0,0,0
677,0,0,0,0,0
678,1,1,1,1,1
679,0,0,0,0,0
680,0,0,0,0,0
681,0,0,0,0,0
682,0,0,0,0,0
683,1,1,1,1,1
684,0,1,1,1,1
685,0,0,0,1,0
686,0,1,1,1,1
687,1,0,0,0,1
688,1,1,1,1,1
689,1,1,1,1,1
690,1,1,1,1,1
691,0,0,0,0,0
692,1,1,1,1,1
693,0,1,0,0,0
694,1,0,0,0,0
695,0,0,0,1,0
696,0,0,0,0,0
697,0,1,0,1,1
698,1,1,1,1,1
699,1,1,1,1,1
700,1,1,1,1,1
701,1,1,0,0,0
702,0,1,1,1,1
703,0,0,0,0,0
704,0,0,0,0,0
705,0,0,0,0,0
706,1,1,1,1,1
707,1,1,1,1,1
708,0,0,0,1,0
709,1,1,1,1,1
710,1,1,1,1,1
711,0,0,0,0,0
712,0,0,1,1,1
713,1,1,0,0,0
714,0,0,0,0,0
715,1,1,1,1,1
716,0,0,0,0,0
717,0,0,0,0,0
718,1,1,1,1,1
719,1,1,1,1,1
720,0,0,0,0,0
721,1,1,0,1,0
722,1,1,1,1,1
723,1,1,1,1,1
724,1,1,1,1,1
725,0,0,0,0,0
726,0,0,0,0,0
727,1,0,0,0,0
728,0,0,0,0,0
729,0,0,0,0,0
730,1,0,1,0,1
731,1,1,1,1,1
732,0,0,0,0,0
733,0,0,0,0,0
734,0,1,0,1,0
735,1,1,1,1,1
736,1,1,0,0,1
737,0,1,0,1,0
738,0,0,0,0,0
739,0,1,0,0,0
740,0,0,0,0,0
741,0,0,0,0,0
742,1,1,0,1,0
743,1,1,1,1,1
744,1,1,1,1,1
745,0,0,0,0,0
746,0,0,0,0,0
747,1,1,1,0,1
748,0,0,0,0,0
749,1,1,1,1,1
750,1,1,1,1,1
751,1,1,1,1,1
752,1,1,0,1,1
753,1,1,1,1,1
754,0,0,0,0,0
755,0,0,0,0,0
756,1,1,1,1,1
757,0,0,0,0,0
758,1,1,1,1,1
759,1,1,1,1,1
760,0,0,0,0,0
761,0,0,0,0,0
762,0,0,1,1,1
763,0,1,0,1,1
764,0,1,0,0,0
765,1,0,1,1,0
766,0,0,0,0,0
767,0,1,0,0,0
768,0,0,0,0,0
769,0,0,1,1,0
770,0,1,0,0,0
771,0,0,0,0,0
772,1,0,1,0,1
773,0,1,0,0,0
774,1,1,1,1,1
775,1,1,1,0,1
776,0,0,0,0,0
777,1,1,1,1,1
778,0,0,0,0,0
779,0,1,0,0,0
780,1,1,1,1,1
781,0,0,0,0,0
782,1,1,1,1,1
783,0,1,0,0,0
784,1,0,1,0,0
785,1,0,1,0,0
786,0,1,1,1,1
787,0,0,0,0,0
788,1,1,1,1,1
